"CBS_square","x","y","Population","nearest_SP_straightline","dist_straightline_km","nearest_SP_network","dist_network_km","detour_factor"
"E1725N3160",3676.249942,33402.28,NA,4356,10.2633745868993,4356,1.224200335252,0.119278539907783
"E1725N3170",3676.249942,42640.61,175,2075,12.0687320787216,2075,0.887691584161,0.0735530110678397
"E1725N3180",3676.249942,51878.94,NA,7422,7.36385448640391,4356,4.07822780251,0.553817000327715
"E1725N3185",3676.249942,56498.105,NA,7422,8.33790237855757,4356,3.607992539052,0.432721849602198
"E1725N3190",3676.249942,61117.27,NA,7422,11.2910694730938,4356,4.005451455702,0.35474508993562
"E1725N3195",3676.249942,65736.435,NA,6908,12.4002470430889,4356,5.41500684151,0.436685400112892
"E1730N3150",10871.16661,24163.95,NA,4356,7.12555599738427,4356,1.244444332417,0.174645225281203
"E1730N3155",10871.16661,28783.115,NA,4356,3.35650566401785,4356,0.3479559742,0.103666136461538
"E1730N3160",10871.16661,33402.28,435,4356,3.79895812924529,1379,0.61298185252,0.161355253642076
"E1730N3165",10871.16661,38021.445,1815,1379,5.64387042127155,1379,0.63117303791,0.111833368025448
"E1730N3170",10871.16661,42640.61,1975,2075,4.95722083824383,2075,0.529234782394,0.106760380395215
"E1730N3175",10871.16661,47259.775,140,7422,5.27507869870999,2075,0.65810162893,0.124756741371638
"E1730N3180",10871.16661,51878.94,NA,7422,0.668840683989012,7422,0.121896871013,0.182250981333849
"E1730N3185",10871.16661,56498.105,90,7422,3.96756991595409,6908,1.09868012779,0.276915127159341
"E1730N3190",10871.16661,61117.27,1050,6908,4.96040514083869,6908,0.48425028952,0.097623132742364
"E1730N3200",10871.16661,70355.6,NA,6908,9.20826466433057,4356,6.31880647417,0.68621034521811
"E1730N3205",10871.16661,74974.765,NA,6908,13.3751805035889,4356,6.58244537981,0.492138807251519
"E1735N3145",18066.08328,19544.785,NA,4356,12.0657869017798,4356,1.97548070294,0.163725807443906
"E1735N3150",18066.08328,24163.95,NA,4356,7.96256396931513,4356,1.15638351704,0.145227532425019
"E1735N3155",18066.08328,28783.115,630,4356,4.88825193358122,4356,0.565817925706,0.115750565517901
"E1735N3160",18066.08328,33402.28,650,1379,4.85325509116259,4356,0.59397132986,0.122386175608527
"E1735N3165",18066.08328,38021.445,1895,1379,1.55121801804922,1379,0.155907074,0.100506229418393
"E1735N3170",18066.08328,42640.61,1480,2075,2.65093089663151,2075,0.38955483529,0.146950203713345
"E1735N3175",18066.08328,47259.775,855,4354,1.79557725477924,4354,0.29073500606,0.161917291659915
"E1735N3180",18066.08328,51878.94,810,4354,3.72299855101443,7422,0.991351984006,0.266277832349916
"E1735N3185",18066.08328,56498.105,295,5706,5.84902118323062,7422,1.748967279846,0.299018797343453
"E1735N3190",18066.08328,61117.27,1860,6908,2.7812474733176,6908,0.36161629138,0.130019458839686
"E1735N3195",18066.08328,65736.435,480,6908,4.06102347865172,6908,0.48364320062,0.119093918851356
"E1735N3205",18066.08328,74974.765,NA,6908,12.7289108666123,3343,5.457289071776,0.428731816018162
"E1740N3140",25260.99994,14925.62,NA,4356,19.6621438552361,4356,2.33957940858,0.118989029162095
"E1740N3155",25260.99994,28783.115,305,4356,11.8345906225279,4356,1.367166274702,0.11552290385943
"E1740N3160",25260.99994,33402.28,705,1379,9.88133293583816,4356,1.26161807381,0.127676911809569
"E1740N3165",25260.99994,38021.445,845,1379,8.74602383649307,1379,0.96387240568,0.11020692645019
"E1740N3170",25260.99994,42640.61,1355,1739,9.48351330014252,2075,1.10842113257,0.116878744985083
"E1740N3175",25260.99994,47259.775,835,4354,8.64493916245713,4354,0.910625305603,0.105336230653609
"E1740N3180",25260.99994,51878.94,745,4354,9.23967497564498,8282,1.110225961813,0.120158551544233
"E1740N3185",25260.99994,56498.105,1595,5706,6.18333291807784,5706,0.7202800311,0.116487344389004
"E1740N3190",25260.99994,61117.27,1790,5706,3.8820388570518,5706,0.46659472403,0.120193213208678
"E1740N3195",25260.99994,65736.435,845,3513,5.85228379962771,3513,0.85489692487,0.14607919816267
"E1745N3140",32455.91661,14925.62,NA,1258,23.2113084014089,1258,2.718624531679,0.117125001514951
"E1745N3145",32455.91661,19544.785,15,1258,18.9586984391635,1258,1.917993857169,0.101166958445151
"E1745N3150",32455.91661,24163.95,10,1258,14.925582933454,1258,1.832880050999,0.122801237256255
"E1745N3155",32455.91661,28783.115,10,1258,11.3484437652983,1258,1.6942603283,0.149294507981858
"E1745N3160",32455.91661,33402.28,120,1739,7.94433143879798,1258,0.97179907279,0.122326098838726
"E1745N3165",32455.91661,38021.445,1135,1739,3.71566474928765,1739,0.895830850012,0.241095715156687
"E1745N3170",32455.91661,42640.61,3090,1739,2.67830126071992,1739,0.30554677181,0.114082301453971
"E1745N3175",32455.91661,47259.775,890,8282,2.93219013268903,8282,0.36553424849,0.124662532765152
"E1745N3180",32455.91661,51878.94,1460,8282,4.27584044571519,8282,0.58311103476,0.13637343164765
"E1745N3185",32455.91661,56498.105,1255,3343,5.70112994499502,3343,0.6571654265,0.11526932956105
