assigned_facility,facility_type,n_zones,total_population,avg_dist_km,avg_pickup_prob,annual_pickups,annual_deliveries,delivery_cost,storage_cost,pickup_savings,net_var_cost,fixed_cost,total_cost,avg_daily_pickups,peak_storage_load,storage_util,bounce_risk
3155,SP,12,6320.0,1.306717755532,0.5620333333333333,39504,23980,40164.11,6715.81,39899.759999999995,6980.149999999999,50000,56980.15,108.23013698630137,430.5394849315068,0.8610789698630137,False
4387,SP,14,7025.0,1.5578306505150714,0.5331428571428571,45524,25044,41177.340000000004,7738.96,45978.51,2937.8099999999995,50000,52937.81,124.72328767123288,496.1492383561644,0.9922984767123288,True
2075,SP,7,6825.0,0.9952741708055716,0.6362857142857142,45156,23401,39398.42,7676.51,45607.44,1467.4699999999984,50000,51467.47,123.71506849315068,492.13854246575335,0.9842770849315067,True
753,SP,9,5345.0,1.108222381239,0.6179111111111111,36256,17434,29298.84,6163.51,36618.51,-1156.1599999999994,50000,48843.840000000004,99.33150684931506,395.1407342465753,0.7902814684931505,False
3343,SP,12,5420.0,1.153429362871,0.6055083333333333,36251,18191,28638.56,6162.78,36614.16,-1812.8099999999993,50000,48187.19,99.31780821917808,395.0862410958904,0.7901724821917808,False
7229,SP,4,7115.0,0.9110377634332499,0.6368499999999999,45852,25618,35632.8,7794.7699999999995,46310.119999999995,-2882.54,50000,47117.46,125.62191780821918,499.7239890410958,0.9994479780821917,True
8282,SP,5,6680.0,0.9625178147593999,0.6506000000000001,45587,21514,32007.79,7749.7,46042.33,-6284.860000000001,50000,43715.14,124.8958904109589,496.8358520547945,0.9936717041095889,True
4987,SP,3,4375.0,0.7492549770493332,0.7011,33899,10049,13150.84,5762.73,34237.43,-15323.850000000002,50000,34676.149999999994,92.87397260273973,369.4526630136986,0.7389053260273972,False
5706,SP,5,6570.0,0.7358235333414,0.6836399999999999,45538,20459,22875.42,7741.3099999999995,45992.52,-15375.800000000001,50000,34624.2,124.76164383561644,496.30181917808216,0.9926036383561643,True
718,SP,4,6250.0,0.7506751232459999,0.68485,44137,18644,21499.69,7503.19,44577.759999999995,-15574.869999999999,50000,34425.130000000005,120.92328767123287,481.0328383561643,0.9620656767123286,False
