cbs_square,population,assigned_facility,facility_type,dist_km,pickup_probability,annual_pickups,annual_deliveries,delivery_cost,storage_cost,pickup_savings,net_variable_cost
E1725N3170,175.0,2075,SP,0.887691584161,0.6381,1122,636,847.17,190.68,1132.85,-95.01
E1730N3160,435.0,1379,SP,0.6129818525199998,0.7185,3140,1230,1130.79,533.76,3171.14,-1506.59
E1730N3165,1815.0,1379,SP,0.6311730379099998,0.7126,12992,5240,4960.87,2208.6,13121.7,-5952.23
E1730N3170,1975.0,2075,SP,0.529234782394,0.7473,14825,5014,3980.06,2520.29,14973.46,-8473.12
E1730N3175,140.0,2075,SP,0.6581016289299999,0.704,990,416,410.97,168.3,999.88,-420.62
E1730N3185,90.0,E1730N3185,APL,0.0,1.0,904,0,0.0,153.69,913.09,-759.4
E1730N3190,1050.0,E1730N3185,APL,0.61931849743,0.8239,8690,1857,1725.13,1477.33,8777.1,-5574.64
E1735N3155,630.0,1379,SP,1.3513802175659997,0.5366,3396,2932,5944.28,577.3,3429.84,3091.74
E1735N3160,650.0,1379,SP,0.78246674575,0.6667,4353,2176,2554.44,739.98,4396.36,-1101.94
E1735N3165,1895.0,1379,SP,0.155907074,0.9094,17311,1725,403.31,2942.81,17483.76,-14137.64
E1735N3170,1480.0,2075,SP,0.3895548352899999,0.8007,11903,2963,1731.42,2023.59,12022.51,-8267.5
E1735N3175,855.0,2075,SP,2.1513464834040006,0.4211,3617,4972,16044.16,614.83,3652.8,13006.19
E1735N3180,810.0,8282,SP,1.997095902663,0.4393,3575,4562,13665.45,607.69,3610.4,10662.74
E1735N3185,295.0,3343,SP,2.3060888727299997,0.4043,1198,1765,6106.42,203.65,1209.94,5100.14
E1735N3190,1860.0,5706,SP,0.85729425668,0.6461,12071,6613,8503.46,2052.07,12191.72,-1636.19
E1735N3195,480.0,5706,SP,0.697730340337,0.6916,3335,1487,1556.09,566.91,3368.12,-1245.12
E1740N3155,305.0,E1740N3160,APL,0.9811116889519998,0.7069,2166,898,1321.73,368.15,2187.25,-497.37
E1740N3160,705.0,1379,SP,1.39873931494,0.528,3739,3342,7012.46,635.7,3776.82,3871.35
E1740N3165,845.0,2075,SP,1.24256874889,0.5574,4731,3757,7001.89,804.32,4778.64,3027.58
E1740N3170,1355.0,2075,SP,1.10842113257,0.5854,7968,5643,9382.75,1354.5,8047.3,2689.95
E1740N3175,835.0,8282,SP,1.2598721280139995,0.554,4647,3741,7069.5,789.94,4693.16,3166.28
E1740N3180,745.0,3343,SP,1.5611187089199998,0.5006,3746,3737,8751.25,636.88,3783.79,5604.33
E1740N3185,1595.0,5706,SP,0.7202800310999999,0.6848,10972,5050,5456.0,1865.21,11081.56,-3760.35
E1740N3190,1790.0,5706,SP,0.4665947240300001,0.7703,13851,4130,2890.33,2354.64,13989.33,-8744.36
E1740N3195,845.0,5706,SP,0.93721831456,0.6254,5309,3179,4469.54,902.48,5361.79,10.22
E1745N3145,15.0,1739,SP,2.905229093426,0.3501,53,98,426.74,8.97,53.28,382.43
E1745N3150,10.0,1739,SP,2.820115287256,0.3569,36,65,273.27,6.09,36.21,243.16
E1745N3155,10.0,E1740N3160,APL,1.4986782733719999,0.5874,59,41,93.16,10.03,59.6,43.6
