square,x,y,Population,apl_affinity
E1730N3185,10871.16661,56498.105,90.0,0.45611111111111113
E1740N3160,25260.99994,33402.28,705.0,0.4799645390070922
E1760N3200,54040.66661,70355.6,30.0,0.49333333333333335
E1760N3210,54040.66661,79593.93,450.0,0.5477777777777778
E1770N3150,68430.49994,24163.95,555.0,0.5155405405405405
E1770N3190,68430.49994,61117.27,305.0,0.4967213114754099
E1775N3145,75625.41661,19544.785,1000.0,0.515
E1775N3190,75625.41661,61117.27,1225.0,0.4571428571428571
E1775N3195,75625.41661,65736.435,955.0,0.46198952879581157
E1785N3130,90015.24994,5687.29,320.0,0.6325000000000001
E1790N3140,97210.16661,14925.62,25.0,0.535
E1790N3150,97210.16661,24163.95,100.0,0.485
E1790N3185,97210.16661,56498.105,1005.0,0.5043532338308457
E1795N3175,104405.0833,47259.775,250.0,0.5680000000000001
E1795N3205,104405.0833,74974.765,955.0,0.5903141361256544
E1795N3210,104405.0833,79593.93,385.0,0.5048701298701299
E1795N3220,104405.0833,88832.26,475.0,0.5678947368421052
E1805N3220,118794.9166,88832.26,945.0,0.501984126984127
E1810N3160,125989.8333,33402.28,230.0,0.6380434782608695
E1810N3215,125989.8333,84213.095,815.0,0.5457055214723926
E1810N3220,125989.8333,88832.26,265.0,0.5556603773584905
E1815N3150,133184.7499,24163.95,645.0,0.5585271317829458
E1820N3150,140379.6666,24163.95,475.0,0.5847368421052631
