assigned_sp,n_zones,total_population,avg_dist_km,annual_deliv_cost,fixed_cost,total_cost
5820,40,14640.0,3.277145100704775,200409.3337132254,50000,250409.3337132254
4440,30,19640.0,2.218662604722533,133533.5550184529,50000,183533.5550184529
4987,17,19560.0,1.5986453299230001,133170.3738266024,50000,183170.3738266024
718,25,14195.0,2.13239440484952,113017.82033225647,50000,163017.82033225647
8282,16,15685.0,1.5459010954110626,96294.70350737954,50000,146294.70350737954
2155,17,15910.0,1.4079206435372942,93739.91385373089,50000,143739.9138537309
7859,24,8010.0,2.4909600425903333,74858.69127885487,50000,124858.69127885487
1379,14,12415.0,1.1936428572789286,63421.14714880727,50000,113421.14714880727
5706,14,10510.0,1.6261164103569286,55216.95893372359,50000,105216.9589337236
657,19,4015.0,1.8818081393128945,24763.891266382132,50000,74763.89126638212
