assigned_sp,n_zones,total_population,avg_dist_km,avg_pickup_prob,annual_pickups,annual_deliveries,delivery_cost,storage_cost,pickup_savings,net_variable_cost,fixed_cost,total_cost,avg_daily_pickups,peak_storage_load,storage_utilisation,bounce_risk
5820,29,11050.0,3.4672217590641035,0.35476896551724135,45822,65174,343491.5,7789.95,46281.590000000004,304999.9,50000,354999.9,125.53972602739726,499.3970301369863,0.9987940602739726,True
2096,19,7490.0,1.811456102338316,0.511142105263158,42351,32888,81861.77,7199.2300000000005,42771.78,46289.2,50000,96289.2,116.03013698630137,461.5678849315068,0.9231357698630136,False
7859,15,5485.0,2.0393030379788,0.50392,32546,22550,61946.31,5532.99,32872.41,34606.85,50000,84606.85,89.16712328767123,354.7068164383561,0.7094136328767122,False
753,14,7015.0,1.5273447262775715,0.5475142857142857,44083,26381,55177.24,7494.26,44524.86,18146.67,50000,68146.67,120.77534246575343,480.444312328767,0.960888624657534,False
417,14,6775.0,1.4741546007880715,0.5598571428571428,44221,23832,50135.28,7518.0,44665.840000000004,12987.460000000001,50000,62987.46,121.15342465753425,481.94832328767114,0.9638966465753422,False
6908,8,7025.0,1.16468340869625,0.6080375,45172,25394,50615.59,7679.22,45623.560000000005,12671.23,50000,62671.229999999996,123.75890410958904,492.3129205479451,0.9846258410958902,True
3155,14,6385.0,1.4444032514556429,0.5410357142857143,39694,24444,42020.88,6747.9800000000005,40091.02,8677.87,50000,58677.87,108.75068493150685,432.6102246575342,0.8652204493150685,False
657,16,3765.0,1.7634385135405624,0.5162125,24363,13456,28269.88,4141.66,24606.39,7805.18,50000,57805.18,66.74794520547945,265.5233260273973,0.5310466520547945,False
7229,7,6980.0,1.8910671826902856,0.5328428571428571,43812,26301,43594.91,7448.12,44250.62,6792.41,50000,56792.41,120.03287671232877,477.4907835616438,0.9549815671232876,False
4387,14,7025.0,1.5578306505150714,0.5324357142857143,45477,25088,41250.520000000004,7730.94,45930.87,3050.5899999999992,50000,53050.59,124.59452054794521,495.637002739726,0.991274005479452,True
1739,9,6570.0,1.7507390707665555,0.5118222222222222,45069,20929,39611.96,7661.5,45518.4,1755.0700000000004,50000,51755.07,123.47671232876712,491.1903616438356,0.9823807232876712,True
3513,10,6850.0,1.193327268695,0.58824,45717,23093,35291.26,7771.66,46172.85,-3109.91,50000,46890.09,125.25205479452055,498.2526739726027,0.9965053479452054,True
2075,7,6805.0,0.9163809612341428,0.6460714285714285,45642,22714,33583.5,7759.3,46099.46,-4756.610000000001,50000,45243.39,125.04657534246576,497.4352767123287,0.9948705534246574,True
3921,7,1705.0,0.8074819136941428,0.6847857142857142,13506,3621,3117.31,2295.86,13640.0,-8226.86,50000,41773.14,37.0027397260274,147.19689863013699,0.294393797260274,False
4987,4,6145.0,0.936349861561,0.6577,44436,17291,26614.08,7554.11,44880.37,-10712.16,50000,39287.84,121.74246575342465,484.2915287671232,0.9685830575342464,False
931,6,6275.0,0.8804600147993334,0.65615,43908,19126,23949.0,7464.18,44346.06,-12932.87,50000,37067.13,120.2958904109589,478.53705205479446,0.9570741041095889,False
1379,7,6140.0,1.0025115666454285,0.6423,44939,16737,22227.45,7639.63,45388.38,-15521.289999999999,50000,34478.71,123.12054794520547,489.7735397260273,0.9795470794520547,False
4440,5,6360.0,0.7981981419522,0.67622,45819,18067,21020.98,7789.1900000000005,46276.97,-17466.78,50000,32533.22,125.53150684931506,499.3643342465753,0.9987286684931507,True
8282,3,6540.0,0.675339579,0.6996333333333333,45755,19937,20892.57,7778.549999999999,46213.67,-17542.56,50000,32457.44,125.35616438356165,498.6668219178082,0.9973336438356164,True
4431,4,6125.0,0.80036029207375,0.690625,45327,16197,20028.61,7705.72,45781.049999999996,-18046.74,50000,31953.26,124.18356164383562,494.00220821917804,0.9880044164383561,True
2155,4,6070.0,0.6711681160549999,0.712025,44273,16701,17726.59,7526.26,44714.82,-19461.97,50000,30538.03,121.2958904109589,482.5150520547945,0.965030104109589,False
