cbs_square,population,assigned_sp,dist_km,pickup_probability,annual_pickups,annual_deliveries,delivery_cost,storage_cost,pickup_savings,net_assignment_cost
E1725N3170,175.0,2075,0.887691584161,0.6373,1120,638,848.86,190.46,1131.57,-92.25
E1730N3160,435.0,1379,0.6129818525199998,0.7179,3137,1233,1133.33,533.29,3168.35,-1501.73
E1730N3165,1815.0,1379,0.6311730379099998,0.712,12980,5252,4971.92,2206.62,13109.91,-5931.37
E1730N3170,1975.0,2075,0.529234782394,0.7467,14813,5025,3989.36,2518.29,14961.63,-8453.97
E1730N3175,140.0,2075,0.6581016289299999,0.7033,989,417,411.87,168.14,998.96,-418.94
E1730N3185,90.0,6908,1.09868012779,0.5868,530,374,615.67,90.18,535.77,170.08
E1730N3190,1050.0,6908,0.48425028952,0.7631,8049,2498,1814.77,1368.3,8129.31,-4946.24
E1735N3155,630.0,1379,1.3513802175659997,0.5358,3391,2937,5954.25,576.46,3424.87,3105.85
E1735N3160,650.0,1379,0.78246674575,0.666,4348,2181,2559.76,739.21,4391.78,-1092.8
E1735N3165,1895.0,1379,0.155907074,0.9091,17306,1729,404.46,2941.98,17478.8,-14132.37
E1735N3170,1480.0,2075,0.3895548352899999,0.8002,11896,2971,1735.76,2022.33,12015.02,-8256.93
E1735N3175,855.0,1739,2.0781994243700006,0.4288,3683,4906,15292.78,626.05,3719.5,12199.34
E1735N3180,810.0,6908,2.49144607576,0.3851,3133,5003,18698.69,532.61,3164.32,16066.98
E1735N3185,295.0,6908,1.76395418624,0.4693,1391,1573,4160.77,236.43,1404.66,2992.54
E1735N3190,1860.0,6908,0.36161629138,0.8118,15168,3516,1907.08,2578.53,15319.48,-10833.88
E1735N3195,480.0,6908,0.48364320062,0.7633,3681,1141,827.78,625.69,3717.36,-2263.89
E1740N3155,305.0,1739,2.728443660202,0.3638,1115,1949,7977.44,189.47,1125.66,7041.25
E1740N3160,705.0,1379,1.39873931494,0.5273,3734,3348,7024.04,634.76,3771.25,3887.55
E1740N3165,845.0,2075,1.24256874889,0.5566,4725,3763,7014.09,803.21,4772.03,3045.28
E1740N3170,1355.0,2075,1.10842113257,0.5846,7957,5654,9399.92,1352.74,8036.87,2715.8
E1740N3175,835.0,2075,1.599094016404,0.4938,4142,4246,10183.64,704.13,4183.38,6704.4
E1740N3180,745.0,3513,1.5427257033,0.5028,3763,3721,8610.36,639.65,3800.28,5449.73
E1740N3185,1595.0,6908,1.3693304112400002,0.5326,8532,7489,15382.94,1450.52,8617.77,8215.69
E1740N3190,1790.0,3513,0.56312258168,0.7348,13212,4769,4028.2,2245.97,13343.73,-7069.55
E1740N3195,845.0,6908,1.2645466870200002,0.5523,4688,3800,7207.89,796.96,4734.89,3269.95
E1745N3145,15.0,1739,2.905229093426,0.3494,53,98,427.21,8.95,53.17,382.99
E1745N3150,10.0,1739,2.820115287256,0.3562,36,65,273.58,6.08,36.13,243.53
E1745N3155,10.0,1379,2.0849327238320003,0.428,43,57,179.69,7.31,43.42,143.58
E1745N3160,120.0,1739,1.782652450567,0.4667,563,643,1718.92,95.64,568.19,1246.36
E1745N3165,1135.0,1739,0.8958308500120001,0.6352,7242,4159,5588.28,1231.19,7314.73,-495.26
E1745N3170,3090.0,1739,0.3055467718099999,0.8362,25955,5084,2329.88,4412.42,26214.99,-19472.69
E1745N3175,890.0,1739,0.92902516685,0.6268,5603,3337,4649.91,952.55,5659.29,-56.82
E1745N3180,1460.0,8282,0.5831110347599999,0.7279,10675,3990,3490.1,1814.83,10782.2,-5477.28
E1745N3185,1255.0,3513,0.90796250093,0.6321,7969,4638,6316.4,1354.67,8048.34,-377.26
E1745N3190,1245.0,3513,0.27682570412,0.8493,10621,1885,782.6,1805.62,10727.5,-8139.28
E1745N3195,125.0,3513,1.4137515799799998,0.5246,659,597,1265.85,111.98,665.29,712.54
E1745N3200,45.0,3513,1.4137515799799998,0.5246,237,215,455.71,40.31,239.5,256.52
E1750N3145,5.0,4387,2.662653098049,0.3694,19,32,126.49,3.15,18.74,110.9
E1750N3150,15.0,4387,2.043403943449,0.4329,65,85,261.89,11.09,65.88,207.1
E1750N3160,150.0,1739,1.311608932406,0.5433,819,688,1353.96,139.15,826.74,666.37
E1750N3165,765.0,4440,1.041931273971,0.5996,4607,3077,4809.2,783.24,4653.37,939.08
E1750N3170,2395.0,8282,0.8359319423699999,0.6511,15664,8393,10524.5,2662.93,15820.92,-2633.49
E1750N3175,2685.0,8282,0.6069757598700001,0.7199,19416,7554,6877.97,3300.79,19610.55,-9431.79
E1750N3180,890.0,4440,1.0624401574659998,0.5949,5318,3622,5771.95,904.09,5371.38,1304.67
E1750N3185,920.0,3513,1.42079878638,0.5234,4837,4405,9387.53,822.22,4884.93,5324.81
E1750N3190,655.0,3513,0.97614443044,0.6151,4047,2532,3707.87,688.01,4087.6,308.28
E1750N3195,55.0,3513,1.22650472898,0.5599,309,243,447.37,52.58,312.4,187.56
E1750N3205,15.0,3513,2.19168509116,0.4158,63,88,289.37,10.65,63.28,236.74
E1750N3210,60.0,3155,2.9248086605629995,0.3479,210,393,1724.39,35.64,211.75,1548.29
E1755N3155,80.0,4387,1.560155145219,0.5,402,402,940.33,68.3,405.8,602.83
E1755N3160,255.0,4387,1.0810609158649995,0.5907,1513,1048,1700.17,257.21,1528.14,429.24
E1755N3165,800.0,4440,1.111485735173,0.584,4693,3343,5574.1,797.75,4739.57,1632.28
E1755N3170,1200.0,4440,0.350476720694,0.8166,9843,2211,1162.47,1673.27,9941.16,-7105.42
E1755N3175,2705.0,4440,0.424656822457,0.786,21358,5814,3703.26,3630.84,21571.49,-14237.39
E1755N3180,1290.0,3155,1.213542372246,0.5625,7288,5670,10320.36,1239.04,7361.34,4198.06
E1755N3185,5.0,3155,1.616223793432,0.4912,25,26,61.96,4.19,24.92,41.24
E1755N3190,15.0,3155,1.030048094762,0.6023,91,60,92.58,15.43,91.66,16.35
E1755N3195,20.0,3155,1.41071866103,0.5251,105,95,201.87,17.93,106.55,113.25
E1755N3200,35.0,3155,2.001531501163,0.438,154,198,593.18,26.18,155.54,463.82
E1755N3205,65.0,3155,2.089439134603,0.4275,279,374,1171.6,47.45,281.9,937.15
E1755N3210,355.0,3921,0.90625839972,0.6325,2256,1310,1781.24,383.46,2278.19,-113.49
E1760N3150,5.0,4387,1.748284801739,0.4716,24,27,69.6,4.03,23.92,49.71
E1760N3160,390.0,4387,0.82254021788,0.6548,2565,1352,1668.66,436.07,2590.75,-486.02
E1760N3165,1570.0,4387,0.2602947832,0.857,13516,2255,880.47,2297.64,13650.7,-10472.59
E1760N3170,1155.0,4387,0.8297835127430001,0.6528,7574,4028,5013.97,1287.51,7649.34,-1347.86
E1760N3175,1885.0,4387,1.3086885921129998,0.5438,10297,8638,16956.3,1750.48,10399.93,8306.85
E1760N3180,2590.0,3155,0.8132632323429999,0.6573,17101,8915,10875.38,2907.25,17272.47,-3489.84
E1760N3185,385.0,3155,1.7928530033669998,0.4653,1799,2068,5561.19,305.9,1817.4,4049.69
E1760N3190,1150.0,3155,0.5241386320150001,0.7485,8647,2905,2283.97,1469.93,8733.14,-4979.23
E1760N3195,145.0,3155,0.9105520370029998,0.6314,920,537,733.18,156.35,928.91,-39.38
E1760N3200,30.0,3921,0.6901145481,0.6933,209,92,95.67,35.52,211.02,-79.83
E1760N3205,805.0,3921,0.22608444067,0.8734,7063,1024,347.1,1200.66,7133.3,-5585.54
E1760N3210,450.0,3921,0.4525294307599999,0.7752,3504,1016,689.91,595.66,3538.9,-2253.34
E1765N3135,15.0,4387,3.3899218688039996,0.3152,47,103,524.69,8.07,47.96,484.81
E1765N3150,75.0,4387,2.29223675674,0.405,305,448,1541.35,51.87,308.14,1285.07
E1765N3155,90.0,4387,1.4811183363800002,0.513,464,440,978.18,78.84,468.39,588.63
E1765N3160,520.0,4387,1.2979355451700003,0.5459,2851,2372,4618.36,484.71,2879.74,2223.33
E1765N3165,965.0,4387,1.03155158986,0.602,5835,3858,5970.06,991.97,5893.44,1068.59
E1765N3170,450.0,3155,1.95012963435,0.4444,2009,2511,7345.96,341.52,2029.05,5658.43
E1765N3175,1615.0,4431,0.6862857842269999,0.6945,11266,4956,5102.06,1915.29,11379.09,-4361.74
E1765N3180,765.0,4431,1.653778961834,0.4854,3730,3954,9809.16,634.13,3767.46,6675.82
E1765N3185,35.0,3155,0.901768728046,0.6337,223,129,174.2,37.87,225.02,-12.95
E1765N3190,140.0,3155,1.042628035456,0.5994,843,563,881.06,143.3,851.37,172.99
E1765N3195,5.0,3921,1.8475521000850004,0.4578,23,27,75.47,3.91,23.22,56.15
E1765N3205,55.0,3921,0.488422753662,0.7616,421,132,96.51,71.53,424.95,-256.92
E1765N3215,5.0,3921,1.041411722862,0.5997,30,20,31.41,5.12,30.42,6.11
E1770N3145,340.0,753,1.76629602673,0.469,1602,1814,4804.82,272.3,1617.79,3459.33
E1770N3150,555.0,753,1.1795198783600005,0.5695,3175,2400,4246.77,539.69,3206.42,1580.05
E1770N3155,705.0,753,0.71068214187,0.687,4865,2216,2362.72,827.1,4913.97,-1724.15
E1770N3160,750.0,753,2.1683336406700007,0.4184,3152,4381,14250.54,535.89,3183.84,11602.59
E1770N3165,235.0,4987,0.803154587186,0.6601,1558,802,966.5,264.91,1573.9,-342.48
E1770N3170,2785.0,4987,0.2042474278959999,0.8842,24737,3239,992.21,4205.23,24984.02,-19786.58
E1770N3175,2235.0,4431,0.235470954364,0.8689,19506,2944,1039.92,3316.07,19701.35,-15345.37
E1770N3180,1510.0,4431,0.6259054678699999,0.7137,10825,4343,4077.47,1840.23,10933.15,-5015.45
E1770N3185,70.0,7859,1.1810332916460002,0.5691,400,303,536.71,68.03,404.19,200.55
E1770N3190,305.0,7859,0.3265015314,0.8269,2533,530,259.68,430.69,2558.82,-1868.45
E1770N3195,545.0,7859,0.2677327426199999,0.8535,4673,802,322.04,794.34,4719.34,-3602.95
E1775N3140,95.0,753,1.83037155259,0.4601,439,515,1414.45,74.65,443.49,1045.61
E1775N3145,1000.0,753,1.43329440616,0.5212,5235,4810,10340.75,889.98,5287.54,5943.2
E1775N3150,1210.0,753,0.5949164611,0.7239,8799,3355,2994.29,1495.83,8886.98,-4396.86
E1775N3155,805.0,753,0.0,1.0,8086,0,0.0,1374.65,8167.06,-6792.41
