generation,best_cost,mean_cost,overall_best_cost,open_locations,avg_distance_km,city_bounce_rate
0,2416044.072379945,5831174.51395674,2416044.072379945,36,0.6734360902555302,0.00035776558454283716
1,2090847.5069372891,3567594.012657042,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
2,2090847.5069372891,3361702.2833225275,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
3,2090847.5069372891,3177872.2699568258,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
4,2090847.5069372891,3473534.8382702484,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
5,2090847.5069372891,3443454.036845808,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
6,2090847.5069372891,3389024.629687333,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
7,2090847.5069372891,3265862.6985670514,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
8,2090847.5069372891,3342430.919164749,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
9,2090847.5069372891,3526930.817551715,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
10,2090847.5069372891,3174583.7560942983,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
11,2090847.5069372891,3386886.5902479035,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
12,2090847.5069372891,4172011.549708123,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
13,2090847.5069372891,3454294.9670381495,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
14,2090847.5069372891,3369208.7307792082,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
15,2090847.5069372891,3483071.167483046,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
16,2090847.5069372891,3353871.547426936,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
17,2090847.5069372891,3466993.650780308,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
18,2090847.5069372891,3457922.9225407373,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
19,2090847.5069372891,3370721.6633505584,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
20,2090847.5069372891,3644432.1246700645,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
21,2090847.5069372891,3482934.0203118627,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
22,2090847.5069372891,4290762.351709571,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
23,2090847.5069372891,3348776.3884501285,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
24,2090847.5069372891,3507177.5871160864,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
25,2090847.5069372891,3390953.227534264,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
26,2090847.5069372891,3441946.399142872,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
27,2090847.5069372891,3505900.878674951,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
28,2090847.5069372891,3567335.3720696634,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
