facility_id,facility_type,open,x,y,fixed_cost,capacity_daily
SP_753,SP,0,75319.0,28665.0,50000,350.0
SP_3343,SP,0,36589.0,60425.0,50000,350.0
SP_1934,SP,0,48959.0,42794.0,50000,350.0
SP_5820,SP,1,98158.0,61912.0,50000,350.0
SP_4356,SP,0,13591.0,30750.0,50000,350.0
SP_1739,SP,1,34610.0,41049.0,50000,350.0
SP_7859,SP,0,70101.0,64002.0,50000,350.0
SP_2155,SP,1,88897.0,44412.0,50000,350.0
SP_5706,SP,1,21384.0,61315.0,50000,350.0
SP_3513,SP,0,30029.0,62343.0,50000,350.0
SP_4431,SP,0,66641.0,48763.0,50000,350.0
SP_1204,SP,0,98488.0,36059.0,50000,350.0
SP_718,SP,0,88859.0,27856.0,50000,350.0
SP_657,SP,1,130503.0,26682.0,50000,350.0
SP_4387,SP,1,55134.0,39885.0,50000,350.0
SP_2075,SP,0,15688.0,43812.0,50000,350.0
SP_931,SP,1,92296.0,31377.0,50000,350.0
SP_417,SP,0,92729.0,20245.0,50000,350.0
SP_284,SP,1,96849.0,8765.0,50000,350.0
SP_6767,SP,0,66189.0,28145.0,50000,350.0
SP_3921,SP,1,55859.0,76557.0,50000,350.0
SP_7229,SP,0,77346.0,46242.0,50000,350.0
SP_4354,SP,0,16694.0,48418.0,50000,350.0
SP_8282,SP,0,35103.0,48521.0,50000,350.0
SP_2096,SP,0,101802.0,43913.0,50000,350.0
SP_1176,SP,0,89379.0,35705.0,50000,350.0
SP_7422,SP,0,11011.0,52533.0,50000,350.0
SP_4987,SP,1,67529.0,44080.0,50000,350.0
SP_5499,SP,0,51393.0,53765.0,50000,350.0
SP_1258,SP,0,40638.0,36647.0,50000,350.0
SP_4440,SP,0,44786.0,44728.0,50000,402.4146575342466
SP_3155,SP,1,55249.0,58005.0,50000,350.0
SP_1026,SP,0,56978.0,33310.0,50000,350.0
SP_6908,SP,0,15641.0,62479.0,50000,350.0
SP_1379,SP,1,16515.0,38001.0,50000,350.0
APL_1_E1805N3215,APL,0,118794.9166,84213.095,15000,90.0
APL_2_E1800N3220,APL,1,111599.9999,88832.26,15000,90.0
APL_3_E1780N3180,APL,1,82820.33327,51878.94,15000,90.0
APL_4_E1795N3205,APL,1,104405.0833,74974.765,15000,90.0
APL_5_E1740N3170,APL,1,25260.99994,42640.61,15000,90.0
APL_6_E1760N3175,APL,1,54040.66661,47259.775,15000,90.0
APL_7_E1750N3175,APL,1,39650.83327,47259.775,15000,90.0
APL_8_E1780N3190,APL,1,82820.33327,61117.27,15000,90.0
APL_9_E1775N3185,APL,1,75625.41661,56498.105,15000,90.0
APL_10_E1810N3220,APL,1,125989.8333,88832.26,15000,90.0
APL_11_E1730N3165,APL,0,10871.16661,38021.445,15000,90.0
APL_12_E1740N3185,APL,0,25260.99994,56498.105,15000,90.0
APL_13_E1785N3150,APL,1,90015.24994,24163.95,15000,90.0
APL_14_E1775N3145,APL,1,75625.41661,19544.785,15000,90.0
APL_15_E1775N3170,APL,0,75625.41661,42640.61,15000,90.0
APL_16_E1740N3160,APL,0,25260.99994,33402.28,15000,90.0
APL_17_E1755N3180,APL,1,46845.74994,51878.94,15000,90.0
APL_18_E1745N3180,APL,1,32455.91661,51878.94,15000,90.0
APL_19_E1815N3130,APL,0,133184.7499,5687.29,15000,90.0
APL_20_E1765N3165,APL,0,61235.58327,38021.445,15000,90.0
