Square,Population,X,Y,annual_demand,assigned_facility_id,assigned_facility_type
E1725N3170,175.0,3676.249942,42640.61,1757.869668598603,SP_1379,SP
E1730N3160,435.0,10871.16661,33402.28,4369.561747659385,SP_1379,SP
E1730N3165,1815.0,10871.16661,38021.445,18231.619705751225,SP_1379,SP
E1730N3170,1975.0,10871.16661,42640.61,19838.81483132709,SP_1379,SP
E1730N3175,140.0,10871.16661,47259.775,1406.2957348788823,SP_1379,SP
E1730N3185,90.0,10871.16661,56498.105,904.0472581364245,SP_5706,SP
E1730N3190,1050.0,10871.16661,61117.27,10547.218011591618,SP_5706,SP
E1735N3155,630.0,18066.08328,28783.115,6328.330806954971,SP_1379,SP
E1735N3160,650.0,18066.08328,33402.28,6529.230197651955,SP_1379,SP
E1735N3165,1895.0,18066.08328,38021.445,19035.21726853916,SP_1379,SP
E1735N3170,1480.0,18066.08328,42640.61,14866.554911576757,SP_1379,SP
E1735N3175,855.0,18066.08328,47259.775,8588.448952296032,APL_5_E1740N3170,APL
E1735N3180,810.0,18066.08328,51878.94,8136.42532322782,APL_18_E1745N3180,APL
E1735N3185,295.0,18066.08328,56498.105,2963.266012780502,SP_5706,SP
E1735N3190,1860.0,18066.08328,61117.27,18683.643334819437,SP_5706,SP
E1735N3195,480.0,18066.08328,65736.435,4821.585376727597,SP_5706,SP
E1740N3155,305.0,25260.99994,28783.115,3063.715708128994,SP_1379,SP
E1740N3160,705.0,25260.99994,33402.28,7081.7035220686585,SP_1739,SP
E1740N3165,845.0,25260.99994,38021.445,8487.99925694754,SP_1379,SP
E1740N3170,1355.0,25260.99994,42640.61,13610.933719720613,APL_5_E1740N3170,APL
E1740N3175,835.0,25260.99994,47259.775,8387.54956159905,APL_5_E1740N3170,APL
E1740N3180,745.0,25260.99994,51878.94,7483.502303462625,APL_18_E1745N3180,APL
E1740N3185,1595.0,25260.99994,56498.105,16021.72640808441,SP_5706,SP
E1740N3190,1790.0,25260.99994,61117.27,17980.49546738,SP_5706,SP
E1740N3195,845.0,25260.99994,65736.435,8487.99925694754,SP_5706,SP
E1745N3145,15.0,32455.91661,19544.785,150.6745430227374,SP_1739,SP
E1745N3150,10.0,32455.91661,24163.95,100.4496953484916,SP_1739,SP
E1745N3155,10.0,32455.91661,28783.115,100.4496953484916,SP_1379,SP
E1745N3160,120.0,32455.91661,33402.28,1205.3963441818992,SP_1739,SP
E1745N3165,1135.0,32455.91661,38021.445,11401.040422053797,SP_1739,SP
E1745N3170,3090.0,32455.91661,42640.61,31038.955862683906,SP_1739,SP
E1745N3175,890.0,32455.91661,47259.775,8940.022886015753,SP_1739,SP
E1745N3180,1460.0,32455.91661,51878.94,14665.655520879774,APL_18_E1745N3180,APL
E1745N3185,1255.0,32455.91661,56498.105,12606.436766235696,APL_18_E1745N3180,APL
E1745N3190,1245.0,32455.91661,61117.27,12505.987070887204,SP_5706,SP
E1745N3195,125.0,32455.91661,65736.435,1255.621191856145,SP_5706,SP
E1745N3200,45.0,32455.91661,70355.6,452.02362906821224,SP_5706,SP
E1750N3145,5.0,39650.83327,19544.785,50.2248476742458,SP_4387,SP
E1750N3150,15.0,39650.83327,24163.95,150.6745430227374,SP_4387,SP
E1750N3160,150.0,39650.83327,33402.28,1506.745430227374,SP_1739,SP
E1750N3165,765.0,39650.83327,38021.445,7684.401694159607,SP_1739,SP
E1750N3170,2395.0,39650.83327,42640.61,24057.70203596374,SP_1739,SP
E1750N3175,2685.0,39650.83327,47259.775,26970.743201069992,APL_7_E1750N3175,APL
E1750N3180,890.0,39650.83327,51878.94,8940.022886015753,APL_7_E1750N3175,APL
E1750N3185,920.0,39650.83327,56498.105,9241.371972061228,APL_18_E1745N3180,APL
E1750N3190,655.0,39650.83327,61117.27,6579.455045326201,SP_5706,SP
E1750N3195,55.0,39650.83327,65736.435,552.4733244167038,SP_5706,SP
E1750N3205,15.0,39650.83327,74974.765,150.6745430227374,SP_3155,SP
E1750N3210,60.0,39650.83327,79593.93,602.6981720909496,SP_3155,SP
E1755N3155,80.0,46845.74994,28783.115,803.5975627879328,SP_4387,SP
E1755N3160,255.0,46845.74994,33402.28,2561.467231386536,SP_4387,SP
E1755N3165,800.0,46845.74994,38021.445,8035.975627879328,SP_4387,SP
E1755N3170,1200.0,46845.74994,42640.61,12053.963441818993,SP_4387,SP
E1755N3175,2705.0,46845.74994,47259.775,27171.642591766977,APL_17_E1755N3180,APL
E1755N3180,1290.0,46845.74994,51878.94,12958.010699955417,APL_17_E1755N3180,APL
E1755N3185,5.0,46845.74994,56498.105,50.2248476742458,APL_17_E1755N3180,APL
E1755N3190,15.0,46845.74994,61117.27,150.6745430227374,SP_3155,SP
E1755N3195,20.0,46845.74994,65736.435,200.8993906969832,SP_3155,SP
E1755N3200,35.0,46845.74994,70355.6,351.57393371972057,SP_3155,SP
E1755N3205,65.0,46845.74994,74974.765,652.9230197651955,SP_3155,SP
E1755N3210,355.0,46845.74994,79593.93,3565.964184871452,SP_3921,SP
E1760N3150,5.0,54040.66661,24163.95,50.2248476742458,SP_4387,SP
E1760N3160,390.0,54040.66661,33402.28,3917.538118591173,SP_4387,SP
E1760N3165,1570.0,54040.66661,38021.445,15770.602169713182,SP_4387,SP
E1760N3170,1155.0,54040.66661,42640.61,11601.939812750781,SP_4387,SP
E1760N3175,1885.0,54040.66661,47259.775,18934.767573190667,APL_6_E1760N3175,APL
E1760N3180,2590.0,54040.66661,51878.94,26016.471095259327,SP_3155,SP
E1760N3185,385.0,54040.66661,56498.105,3867.3132709169267,SP_3155,SP
E1760N3190,1150.0,54040.66661,61117.27,11551.714965076535,SP_3155,SP
E1760N3195,145.0,54040.66661,65736.435,1456.5205825531284,SP_3155,SP
E1760N3200,30.0,54040.66661,70355.6,301.3490860454748,SP_3921,SP
E1760N3205,805.0,54040.66661,74974.765,8086.2004755535745,SP_3921,SP
E1760N3210,450.0,54040.66661,79593.93,4520.236290682123,SP_3921,SP
E1765N3135,15.0,61235.58327,10306.455,150.6745430227374,SP_4387,SP
E1765N3150,75.0,61235.58327,24163.95,753.372715113687,SP_4387,SP
E1765N3155,90.0,61235.58327,28783.115,904.0472581364245,SP_4387,SP
E1765N3160,520.0,61235.58327,33402.28,5223.384158121564,SP_4387,SP
E1765N3165,965.0,61235.58327,38021.445,9693.39560112944,SP_4387,SP
E1765N3170,450.0,61235.58327,42640.61,4520.236290682123,SP_4387,SP
E1765N3175,1615.0,61235.58327,47259.775,16222.625798781393,SP_4987,SP
E1765N3180,765.0,61235.58327,51878.94,7684.401694159607,SP_3155,SP
E1765N3185,35.0,61235.58327,56498.105,351.57393371972057,SP_3155,SP
E1765N3190,140.0,61235.58327,61117.27,1406.2957348788823,SP_3155,SP
E1765N3195,5.0,61235.58327,65736.435,50.2248476742458,SP_3921,SP
E1765N3205,55.0,61235.58327,74974.765,552.4733244167038,SP_3921,SP
E1765N3215,5.0,61235.58327,84213.095,50.2248476742458,SP_3921,SP
E1770N3145,340.0,68430.49994,19544.785,3415.289641848715,APL_14_E1775N3145,APL
E1770N3150,555.0,68430.49994,24163.95,5574.958091841285,APL_14_E1775N3145,APL
E1770N3155,705.0,68430.49994,28783.115,7081.7035220686585,SP_4987,SP
E1770N3160,750.0,68430.49994,33402.28,7533.727151136871,APL_14_E1775N3145,APL
E1770N3165,235.0,68430.49994,38021.445,2360.5678406895527,SP_4987,SP
E1770N3170,2785.0,68430.49994,42640.61,27975.24015455491,SP_4987,SP
E1770N3175,2235.0,68430.49994,47259.775,22450.506910387874,SP_4987,SP
E1770N3180,1510.0,68430.49994,51878.94,15167.903997622234,SP_4987,SP
E1770N3185,70.0,68430.49994,56498.105,703.1478674394411,SP_3155,SP
E1770N3190,305.0,68430.49994,61117.27,3063.715708128994,APL_8_E1780N3190,APL
E1770N3195,545.0,68430.49994,65736.435,5474.508396492793,APL_8_E1780N3190,APL
E1775N3140,95.0,75625.41661,14925.62,954.2721058106702,APL_14_E1775N3145,APL
E1775N3145,1000.0,75625.41661,19544.785,10044.96953484916,APL_14_E1775N3145,APL
E1775N3150,1210.0,75625.41661,24163.95,12154.413137167485,APL_14_E1775N3145,APL
E1775N3155,805.0,75625.41661,28783.115,8086.2004755535745,APL_14_E1775N3145,APL
E1775N3160,845.0,75625.41661,33402.28,8487.99925694754,SP_4987,SP
E1775N3165,850.0,75625.41661,38021.445,8538.224104621786,SP_4987,SP
E1775N3170,2275.0,75625.41661,42640.61,22852.305691781843,SP_4987,SP
E1775N3175,1355.0,75625.41661,47259.775,13610.933719720613,SP_4987,SP
E1775N3180,1325.0,75625.41661,51878.94,13309.584633675137,APL_9_E1775N3185,APL
E1775N3185,1210.0,75625.41661,56498.105,12154.413137167485,APL_9_E1775N3185,APL
E1775N3190,1225.0,75625.41661,61117.27,12305.087680190221,APL_8_E1780N3190,APL
E1775N3195,955.0,75625.41661,65736.435,9592.945905780947,APL_8_E1780N3190,APL
E1775N3200,20.0,75625.41661,70355.6,200.8993906969832,APL_8_E1780N3190,APL
E1780N3130,85.0,82820.33327,5687.29,853.8224104621787,SP_284,SP
E1780N3135,35.0,82820.33327,10306.455,351.57393371972057,SP_284,SP
E1780N3140,145.0,82820.33327,14925.62,1456.5205825531284,SP_284,SP
E1780N3145,95.0,82820.33327,19544.785,954.2721058106702,APL_14_E1775N3145,APL
E1780N3150,405.0,82820.33327,24163.95,4068.21266161391,APL_13_E1785N3150,APL
E1780N3155,290.0,82820.33327,28783.115,2913.041165106257,SP_931,SP
E1780N3160,205.0,82820.33327,33402.28,2059.2187546440778,SP_2155,SP
E1780N3165,140.0,82820.33327,38021.445,1406.2957348788823,SP_2155,SP
E1780N3170,605.0,82820.33327,42640.61,6077.206568583742,SP_2155,SP
E1780N3175,2155.0,82820.33327,47259.775,21646.909347599943,APL_3_E1780N3180,APL
E1780N3180,2305.0,82820.33327,51878.94,23153.654777827313,APL_3_E1780N3180,APL
E1780N3185,130.0,82820.33327,56498.105,1305.846039530391,APL_8_E1780N3190,APL
E1780N3190,945.0,82820.33327,61117.27,9492.496210432457,APL_8_E1780N3190,APL
E1780N3195,675.0,82820.33327,65736.435,6780.354436023184,APL_8_E1780N3190,APL
E1780N3200,15.0,82820.33327,70355.6,150.6745430227374,APL_4_E1795N3205,APL
E1780N3220,10.0,82820.33327,88832.26,100.4496953484916,APL_2_E1800N3220,APL
E1785N3125,125.0,90015.24994,1068.125,1255.621191856145,SP_284,SP
E1785N3130,320.0,90015.24994,5687.29,3214.3902511517313,SP_284,SP
E1785N3140,10.0,90015.24994,14925.62,100.4496953484916,SP_284,SP
E1785N3145,1600.0,90015.24994,19544.785,16071.951255758657,APL_13_E1785N3150,APL
E1785N3150,2380.0,90015.24994,24163.95,23907.027492941,APL_13_E1785N3150,APL
E1785N3155,1865.0,90015.24994,28783.115,18733.868182493683,SP_931,SP
E1785N3160,1265.0,90015.24994,33402.28,12706.886461584187,SP_931,SP
E1785N3165,1425.0,90015.24994,38021.445,14314.081587160053,SP_931,SP
E1785N3170,2030.0,90015.24994,42640.61,20391.288155743794,SP_2155,SP
E1785N3175,1215.0,90015.24994,47259.775,12204.63798484173,SP_2155,SP
E1785N3180,670.0,90015.24994,51878.94,6730.129588348937,SP_2155,SP
E1785N3185,440.0,90015.24994,56498.105,4419.78659533363,SP_5820,SP
E1785N3190,275.0,90015.24994,61117.27,2762.3666220835194,APL_8_E1780N3190,APL
E1785N3195,90.0,90015.24994,65736.435,904.0472581364245,APL_9_E1775N3185,APL
E1785N3200,30.0,90015.24994,70355.6,301.3490860454748,APL_4_E1795N3205,APL
E1785N3220,15.0,90015.24994,88832.26,150.6745430227374,APL_2_E1800N3220,APL
E1790N3130,915.0,97210.16661,5687.29,9191.147124386982,SP_284,SP
E1790N3135,490.0,97210.16661,10306.455,4922.035072076088,SP_284,SP
E1790N3140,25.0,97210.16661,14925.62,251.124238371229,SP_284,SP
E1790N3145,100.0,97210.16661,19544.785,1004.496953484916,SP_931,SP
E1790N3150,100.0,97210.16661,24163.95,1004.496953484916,SP_931,SP
E1790N3155,675.0,97210.16661,28783.115,6780.354436023184,SP_931,SP
E1790N3160,975.0,97210.16661,33402.28,9793.845296477932,SP_931,SP
E1790N3165,1560.0,97210.16661,38021.445,15670.152474364691,SP_931,SP
E1790N3170,1040.0,97210.16661,42640.61,10446.768316243128,SP_2155,SP
E1790N3175,630.0,97210.16661,47259.775,6328.330806954971,SP_2155,SP
E1790N3180,195.0,97210.16661,51878.94,1958.7690592955864,SP_5820,SP
E1790N3185,1005.0,97210.16661,56498.105,10095.194382523405,SP_5820,SP
E1790N3190,1300.0,97210.16661,61117.27,13058.46039530391,SP_5820,SP
E1790N3195,1190.0,97210.16661,65736.435,11953.5137464705,SP_5820,SP
E1790N3200,65.0,97210.16661,70355.6,652.9230197651955,APL_9_E1775N3185,APL
E1790N3205,30.0,97210.16661,74974.765,301.3490860454748,APL_4_E1795N3205,APL
E1790N3210,5.0,97210.16661,79593.93,50.2248476742458,APL_4_E1795N3205,APL
E1790N3215,70.0,97210.16661,84213.095,703.1478674394411,APL_2_E1800N3220,APL
E1790N3220,160.0,97210.16661,88832.26,1607.1951255758656,APL_2_E1800N3220,APL
E1795N3130,85.0,104405.0833,5687.29,853.8224104621787,SP_284,SP
E1795N3135,75.0,104405.0833,10306.455,753.372715113687,SP_284,SP
E1795N3160,70.0,104405.0833,33402.28,703.1478674394411,SP_931,SP
E1795N3165,420.0,104405.0833,38021.445,4218.887204636647,SP_931,SP
E1795N3170,340.0,104405.0833,42640.61,3415.289641848715,SP_2155,SP
E1795N3175,250.0,104405.0833,47259.775,2511.24238371229,SP_2155,SP
E1795N3180,5.0,104405.0833,51878.94,50.2248476742458,SP_2155,SP
E1795N3185,665.0,104405.0833,56498.105,6679.904740674691,SP_5820,SP
E1795N3190,865.0,104405.0833,61117.27,8688.898647644524,SP_5820,SP
E1795N3195,530.0,104405.0833,65736.435,5323.833853470055,SP_5820,SP
E1795N3200,40.0,104405.0833,70355.6,401.7987813939664,APL_4_E1795N3205,APL
E1795N3205,955.0,104405.0833,74974.765,9592.945905780947,APL_4_E1795N3205,APL
E1795N3210,385.0,104405.0833,79593.93,3867.3132709169267,APL_4_E1795N3205,APL
E1795N3215,120.0,104405.0833,84213.095,1205.3963441818992,APL_2_E1800N3220,APL
E1795N3220,475.0,104405.0833,88832.26,4771.3605290533515,APL_2_E1800N3220,APL
E1800N3160,75.0,111599.9999,33402.28,753.372715113687,SP_657,SP
E1800N3165,25.0,111599.9999,38021.445,251.124238371229,SP_657,SP
E1800N3205,130.0,111599.9999,74974.765,1305.846039530391,SP_5820,SP
E1800N3210,110.0,111599.9999,79593.93,1104.9466488334076,APL_10_E1810N3220,APL
E1800N3215,720.0,111599.9999,84213.095,7232.378065091396,APL_2_E1800N3220,APL
E1800N3220,1125.0,111599.9999,88832.26,11300.590726705304,APL_2_E1800N3220,APL
E1800N3225,20.0,111599.9999,93451.425,200.8993906969832,APL_2_E1800N3220,APL
E1805N3150,15.0,118794.9166,24163.95,150.6745430227374,SP_657,SP
E1805N3160,95.0,118794.9166,33402.28,954.2721058106702,SP_657,SP
E1805N3165,10.0,118794.9166,38021.445,100.4496953484916,SP_657,SP
E1805N3175,15.0,118794.9166,47259.775,150.6745430227374,SP_2155,SP
E1805N3185,15.0,118794.9166,56498.105,150.6745430227374,SP_2155,SP
E1805N3210,185.0,118794.9166,79593.93,1858.3193639470946,APL_10_E1810N3220,APL
E1805N3215,1115.0,118794.9166,84213.095,11200.141031356812,APL_10_E1810N3220,APL
E1805N3220,945.0,118794.9166,88832.26,9492.496210432457,APL_2_E1800N3220,APL
E1810N3125,100.0,125989.8333,1068.125,1004.496953484916,SP_657,SP
E1810N3130,25.0,125989.8333,5687.29,251.124238371229,SP_284,SP
E1810N3150,200.0,125989.8333,24163.95,2008.993906969832,SP_657,SP
E1810N3155,850.0,125989.8333,28783.115,8538.224104621786,SP_657,SP
E1810N3160,230.0,125989.8333,33402.28,2310.342993015307,SP_657,SP
E1810N3170,150.0,125989.8333,42640.61,1506.745430227374,SP_657,SP
E1810N3185,10.0,125989.8333,56498.105,100.4496953484916,SP_2155,SP
E1810N3190,5.0,125989.8333,61117.27,50.2248476742458,SP_5820,SP
E1810N3195,10.0,125989.8333,65736.435,100.4496953484916,SP_5820,SP
